"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033342","NEMESHAEVO, UP","2000-03-26",,,,,"55"
"UPM00033342","NEMESHAEVO, UP","2000-04-25",,,,"70",
"UPM00033342","NEMESHAEVO, UP","2000-04-26",,,,"74","55"
"UPM00033342","NEMESHAEVO, UP","2000-04-27",,,"74","73","53"
"UPM00033342","NEMESHAEVO, UP","2000-04-28",,,"73","76","60"
"UPM00033342","NEMESHAEVO, UP","2000-04-29",,,"76","70","54"
"UPM00033342","NEMESHAEVO, UP","2000-04-30",,,"70","77","57"
"UPM00033342","NEMESHAEVO, UP","2000-05-01",,,,"68","73"
"UPM00033342","NEMESHAEVO, UP","2000-05-02",,,"68","50","37"
"UPM00033342","NEMESHAEVO, UP","2000-05-03",,,"50","56","35"
"UPM00033342","NEMESHAEVO, UP","2000-05-04",,,,"66","-45"
"UPM00033342","NEMESHAEVO, UP","2000-05-05",,,"66","68","51"
"UPM00033342","NEMESHAEVO, UP","2000-05-06",,,"68","72","47"
"UPM00033342","NEMESHAEVO, UP","2000-05-07",,,"72","58","51"
"UPM00033342","NEMESHAEVO, UP","2000-05-08",,,"58","63","46"
"UPM00033342","NEMESHAEVO, UP","2000-05-09",,,"63",,"48"
"UPM00033342","NEMESHAEVO, UP","2000-05-10",,,,"69","51"
"UPM00033342","NEMESHAEVO, UP","2000-05-11",,,"69","80","53"
"UPM00033342","NEMESHAEVO, UP","2000-05-12",,,"80",,"52"
"UPM00033342","NEMESHAEVO, UP","2000-05-13",,,,"55",
"UPM00033342","NEMESHAEVO, UP","2000-05-14",,,"55","63","50"
"UPM00033342","NEMESHAEVO, UP","2000-05-15",,,"63","64","51"
"UPM00033342","NEMESHAEVO, UP","2000-05-16",,,"64","66","53"
"UPM00033342","NEMESHAEVO, UP","2000-05-17",,,"66","69","47"
"UPM00033342","NEMESHAEVO, UP","2000-05-18",,,"69",,"52"
"UPM00033342","NEMESHAEVO, UP","2000-05-19",,,,"80",
"UPM00033342","NEMESHAEVO, UP","2000-05-20",,,,"60","55"
"UPM00033342","NEMESHAEVO, UP","2000-05-21",,,,"65","52"
"UPM00033342","NEMESHAEVO, UP","2000-05-22",,,,"63","53"
"UPM00033342","NEMESHAEVO, UP","2000-05-23",,,,"68","54"
"UPM00033342","NEMESHAEVO, UP","2000-05-24",,,"68","69","55"
"UPM00033342","NEMESHAEVO, UP","2000-05-25",,,"69","71","56"
"UPM00033342","NEMESHAEVO, UP","2000-05-26",,,"71","78","55"
"UPM00033342","NEMESHAEVO, UP","2000-05-27",,,,"78","63"
"UPM00033342","NEMESHAEVO, UP","2000-05-28",,,"78","82","61"
"UPM00033342","NEMESHAEVO, UP","2000-05-29",,,"82","83","63"
"UPM00033342","NEMESHAEVO, UP","2000-05-30",,,,"81","63"
"UPM00033342","NEMESHAEVO, UP","2000-05-31",,,,"67","56"
"UPM00033342","NEMESHAEVO, UP","2000-06-01",,,"67","66","54"
"UPM00033342","NEMESHAEVO, UP","2000-06-02",,,,"69","54"
